=== Creating logs directory ===
=== Changing to work directory ===
=== Building bench_read_1pz ===
=== Picking sample files ===
Found and selected 100 files
=== Running benchmark with n_threads=32 (full per-file output) ===
path,file_size,n_cells,nnz,decoded_bytes,cold_ms,warm_ms
/mnt/home/besleya/quant/GSE303581/GSM9129518/counts.1pz,18987389,3003,27087265,216710136,1861.68,1859.18
/mnt/home/besleya/quant/GSE202410/GSM6119086/counts.1pz,5119191,3504,5813038,46518324,332.849,336.168
/mnt/home/besleya/quant/GSE204702/GSM6186046/counts.1pz,6801224,2087,8313289,66514664,530.33,529.333
/mnt/home/besleya/quant/GSE127246/GSM3633037/counts.1pz,7767897,22794,7500390,60094300,381.474,384.031
/mnt/home/besleya/quant/GSE178910/GSM5400788/counts.1pz,9505524,5453,12457534,99682088,738.424,737.07
/mnt/home/besleya/quant/GSE266546/GSM8249641/counts.1pz,833782,3263,480243,3855000,21.985,21.1797
/mnt/home/besleya/quant/GSE201534/GSM6066349/counts.1pz,22046966,105711,22604103,181255672,1122.64,1119.38
/mnt/home/besleya/quant/GSE156405/GSM4730270/counts.1pz,4307962,3581,4864227,38928144,271.972,274.225
/mnt/home/besleya/quant/GSE262686/GSM8173786/counts.1pz,297831,119,702,6096,1.0104,0.657458
/mnt/home/besleya/quant/GSE270533/GSM8346283/counts.1pz,870168,400,666269,5331756,38.2185,37.3312
/mnt/home/besleya/quant/GSE280311/GSM8594544/counts.1pz,1085984,4786,978412,7846444,43.9292,43.8479
/mnt/home/besleya/quant/GSE266546/GSM8249719/counts.1pz,1622373,4826,1322305,10597748,61.9232,63.2917
/mnt/home/besleya/quant/GSE266546/GSM8249593/counts.1pz,824563,2609,511532,4102696,23.667,23.1293
/mnt/home/besleya/quant/GSE261774/GSM8151503/counts.1pz,9305885,4059,11655668,93261584,729.593,725.53
/mnt/home/besleya/quant/GSE266427/GSM8246776/counts.1pz,15863034,77597,15718633,126059456,806.091,802.556
/mnt/home/besleya/quant/GSE154535/GSM4673009/counts.1pz,1815261,403,1803156,14426864,115.192,113.454
/mnt/home/besleya/quant/GSE121080/GSM3425687/counts.1pz,5510331,3019,6458811,51682568,382.982,385.692
/mnt/home/besleya/quant/GSE270533/GSM8346282/counts.1pz,1168937,838,987240,7901276,54.5353,53.5284
# SUMMARY: files=100 mean_cold_ms=743.682 median_cold_ms=302.704 p95_cold_ms=3058.98 mean_warm_ms=741.53 median_warm_ms=299.619 p95_warm_ms=3048.29 mean_decoded_bytes=9.97127e+07
=== Quick run with n_threads=4 ===
path,file_size,n_cells,nnz,decoded_bytes,cold_ms,warm_ms
/mnt/home/besleya/quant/GSE204864/GSM6199115/counts.1pz,513272,559,203344,1628992,12.7029,11.4925
/mnt/home/besleya/quant/GSE278558/GSM8548823/counts.1pz,23106047,91981,25314656,202885176,1373.04,1366.56
/mnt/home/besleya/quant/GSE216357/GSM6670922/counts.1pz,16742892,8645,21749405,174029824,1308.74,1294.6
/mnt/home/besleya/quant/GSE206391/GSM6252975/counts.1pz,5339970,10498,5481942,43897532,308.971,305.986
/mnt/home/besleya/quant/GSE206284/GSM6249257/counts.1pz,2774384,12268,2423644,19438228,116.349,113.769
/mnt/home/besleya/quant/GSE261774/GSM8151509/counts.1pz,4317027,2468,5033570,40278436,302.591,298.858
/mnt/home/besleya/quant/GSE211956/GSM6506117/gene_counts.1pz,6740497,3072,8791799,70346684,537.902,538.058
/mnt/home/besleya/quant/GSE250558/GSM7981573/counts.1pz,14995791,18441,18084082,144746424,976.18,969.355
/mnt/home/besleya/quant/GSE181422/GSM5502225/counts.1pz,17662515,72428,17897930,143473156,966.216,957.89
/mnt/home/besleya/quant/GSE152522/GSM4617170/counts.1pz,3578381,6745,3684239,29500896,188.459,190.812
/mnt/home/besleya/quant/GSE129826/GSM3722736/counts.1pz,35494404,12916,51269494,410207620,3320.65,3313.63
/mnt/home/besleya/quant/GSE241386/GSM7728058/counts.1pz,20307475,15600,24082308,192720868,1452.64,1444.79
/mnt/home/besleya/quant/GSE266546/GSM8249673/counts.1pz,2407450,15117,1732601,13921280,78.79,79.1751
/mnt/home/besleya/quant/GSE250558/GSM7981580/counts.1pz,3678804,82319,2321332,18899936,109.367,110.4
/mnt/home/besleya/quant/GSE211956/GSM6506109/gene_counts.1pz,3209845,2086,3505485,28052228,202.22,207.086
/mnt/home/besleya/quant/GSE150290/GSM4546306/counts.1pz,3205409,2206,3440824,27535420,199.643,200.543
/mnt/home/besleya/quant/GSE173180/GSM5261585/counts.1pz,31517915,114113,35226141,282265584,1982.49,1972.74
/mnt/home/besleya/quant/GSE150290/GSM4546307/counts.1pz,4600002,3494,5139735,41131860,297.739,295.086
/mnt/home/besleya/quant/GSE237239/GSM7597609/counts.1pz,70529614,137014,88856673,711401444,5404.22,5392.99
/mnt/home/besleya/quant/GSE242197/GSM7754836/counts.1pz,15868788,7551,19241270,153960368,1179.55,1172.03
/mnt/home/besleya/quant/GSE250558/GSM7981574/counts.1pz,13279403,19502,15443146,123623180,814.42,810.633
/mnt/home/besleya/quant/GSE269942/GSM8330744/counts.1pz,18485770,3867,25499396,204010640,1762.21,1763.86
/mnt/home/besleya/quant/GSE266546/GSM8249613/counts.1pz,3843563,22429,3217790,25832040,142.377,140.166
